family,father,mother,children,childNum,gender,childHeight
58,71.0,62.0,7,1,male,70.5
58,71.0,62.0,7,2,male,70.0
58,71.0,62.0,7,3,male,69.0
58,71.0,62.0,7,4,male,69.0
58,71.0,62.0,7,5,male,66.0
58,71.0,62.0,7,6,female,64.5
58,71.0,62.0,7,7,female,64.0
59,71.0,61.0,1,1,female,62.0
60,71.0,58.0,2,1,male,71.5
60,71.0,58.0,2,2,male,69.0
61,70.0,69.0,4,1,male,71.0
61,70.0,69.0,4,2,male,70.0
61,70.0,69.0,4,3,male,69.0
61,70.0,69.0,4,4,female,69.0
62,70.0,69.0,6,1,male,70.0
62,70.0,69.0,6,2,male,68.7
62,70.0,69.0,6,3,female,68.0
62,70.0,69.0,6,4,female,66.0
62,70.0,69.0,6,5,female,64.0
62,70.0,69.0,6,6,female,62.0
63,70.0,68.0,1,1,male,75.0
64,70.0,67.0,5,1,male,70.0
64,70.0,67.0,5,2,male,69.0
64,70.0,67.0,5,3,female,66.0
64,70.0,67.0,5,4,female,64.0
64,70.0,67.0,5,5,female,60.0
65,70.0,67.0,1,1,female,67.5
66,70.0,66.5,11,1,male,73.0
66,70.0,66.5,11,2,male,72.0
66,70.0,66.5,11,3,male,72.0
66,70.0,66.5,11,4,male,66.5
66,70.0,66.5,11,5,female,69.2
66,70.0,66.5,11,6,female,67.2
66,70.0,66.5,11,7,female,66.5
66,70.0,66.5,11,8,female,66.0
66,70.0,66.5,11,9,female,66.0
66,70.0,66.5,11,10,female,64.2
66,70.0,66.5,11,11,female,63.7
67,70.5,65.0,4,1,male,72.0
67,70.5,65.0,4,2,male,70.2
67,70.5,65.0,4,3,male,69.0
67,70.5,65.0,4,4,male,68.5
68,70.5,65.0,5,1,female,68.0
68,70.5,65.0,5,2,female,65.0
68,70.5,65.0,5,3,female,61.5
68,70.5,65.0,5,4,female,61.0
68,70.5,65.0,5,5,female,61.0
69,70.0,65.0,8,1,male,73.0
69,70.0,65.0,8,2,male,72.0
69,70.0,65.0,8,3,male,70.5
69,70.0,65.0,8,4,male,65.0
69,70.0,65.0,8,5,male,65.0
69,70.0,65.0,8,6,female,64.5
69,70.0,65.0,8,7,female,63.0
69,70.0,65.0,8,8,female,62.0
70,70.0,65.0,5,1,male,67.0
70,70.0,65.0,5,2,male,65.0
70,70.0,65.0,5,3,female,64.5
70,70.0,65.0,5,4,female,62.5
70,70.0,65.0,5,5,female,62.5
71,70.0,65.0,6,1,male,70.0
71,70.0,65.0,6,2,male,70.0
71,70.0,65.0,6,3,female,67.0
71,70.0,65.0,6,4,female,65.0
71,70.0,65.0,6,5,female,65.0
71,70.0,65.0,6,6,female,63.0
72,70.0,65.0,7,1,male,79.0
72,70.0,65.0,7,2,male,75.0
72,70.0,65.0,7,3,male,71.0
72,70.0,65.0,7,4,female,69.0
72,70.0,65.0,7,5,female,67.0
72,70.0,65.0,7,6,female,65.7
72,70.0,65.0,7,7,female,62.0
73,70.0,65.0,3,1,male,73.0
73,70.0,65.0,3,2,male,72.5
73,70.0,65.0,3,3,female,65.0
74,70.0,65.0,2,1,male,69.0
74,70.0,65.0,2,2,male,69.0
75,70.0,64.7,7,1,male,72.0
75,70.0,64.7,7,2,male,70.0
75,70.0,64.7,7,3,male,68.7
75,70.0,64.7,7,4,female,66.5
75,70.0,64.7,7,5,female,65.5
75,70.0,64.7,7,6,female,64.7
75,70.0,64.7,7,7,female,64.5
76,70.0,64.0,7,1,male,70.7
76,70.0,64.0,7,2,male,70.0
76,70.0,64.0,7,3,male,68.0
76,70.0,64.0,7,4,male,67.0
76,70.0,64.0,7,5,male,66.0
76,70.0,64.0,7,6,male,65.0
76,70.0,64.0,7,7,female,67.0
77,70.0,64.0,4,1,male,70.0
77,70.0,64.0,4,2,male,68.0
77,70.0,64.0,4,3,male,66.7
77,70.0,64.0,4,4,female,65.5
78,70.0,64.2,5,1,male,72.0
78,70.0,64.2,5,2,male,70.0
78,70.0,64.2,5,3,female,62.5
78,70.0,64.2,5,4,female,61.2
78,70.0,64.2,5,5,female,60.1
79,70.5,64.0,8,1,male,74.0
79,70.5,64.0,8,2,male,69.5
79,70.5,64.0,8,3,male,69.0
79,70.5,64.0,8,4,male,68.0
79,70.5,64.0,8,5,male,68.0
79,70.5,64.0,8,6,male,68.0
79,70.5,64.0,8,7,female,65.5
79,70.5,64.0,8,8,female,65.0
80,70.5,64.5,1,1,female,60.0
81,70.0,64.0,4,1,male,68.0
81,70.0,64.0,4,2,female,65.0
81,70.0,64.0,4,3,female,64.0
81,70.0,64.0,4,4,female,62.0
82,70.0,64.0,9,1,male,71.0
82,70.0,64.0,9,2,male,70.0
82,70.0,64.0,9,3,male,70.0
82,70.0,64.0,9,4,male,70.0
82,70.0,64.0,9,5,male,69.5
82,70.0,64.0,9,6,male,68.5
82,70.0,64.0,9,7,female,69.0
82,70.0,64.0,9,8,female,65.0
82,70.0,64.0,9,9,female,64.0
83,70.0,63.7,8,1,male,70.0
83,70.0,63.7,8,2,male,67.0
83,70.0,63.7,8,3,male,65.5
83,70.0,63.7,8,4,female,63.7
83,70.0,63.7,8,5,female,63.2
83,70.0,63.7,8,6,female,62.5
83,70.0,63.7,8,7,female,62.2
83,70.0,63.7,8,8,female,61.0
84,70.5,63.0,4,1,male,70.0
84,70.5,63.0,4,2,male,68.5
84,70.5,63.0,4,3,female,65.5
84,70.5,63.0,4,4,female,63.5
85,70.5,63.0,5,1,male,72.5
85,70.5,63.0,5,2,male,69.0
85,70.5,63.0,5,3,male,67.0
85,70.5,63.0,5,4,female,64.5
85,70.5,63.0,5,5,female,64.0
86,70.0,63.5,4,1,male,71.0
86,70.0,63.5,4,2,male,67.5
86,70.0,63.5,4,3,female,67.5
86,70.0,63.5,4,4,female,63.5
87,70.0,63.0,4,1,male,68.0
87,70.0,63.0,4,2,male,67.0
87,70.0,63.0,4,3,female,63.7
87,70.0,63.0,4,4,female,62.0
88,70.0,63.0,4,1,male,70.0
88,70.0,63.0,4,2,male,66.5
88,70.0,63.0,4,3,female,62.0
88,70.0,63.0,4,4,female,61.0
89,70.5,62.0,8,1,male,72.0
89,70.5,62.0,8,2,male,70.0
89,70.5,62.0,8,3,male,69.5
89,70.5,62.0,8,4,male,69.5
89,70.5,62.0,8,5,male,68.0
89,70.5,62.0,8,6,female,65.0
89,70.5,62.0,8,7,female,64.0
89,70.5,62.0,8,8,female,63.0
90,70.3,62.7,7,1,male,70.7
90,70.3,62.7,7,2,male,69.7
90,70.3,62.7,7,3,male,69.2
90,70.3,62.7,7,4,male,65.2
90,70.3,62.7,7,5,female,64.0
90,70.3,62.7,7,6,female,63.5
90,70.3,62.7,7,7,female,63.2
91,70.5,62.0,3,1,male,72.0
91,70.5,62.0,3,2,male,72.0
91,70.5,62.0,3,3,female,60.0
92,70.0,61.0,2,1,male,71.2
92,70.0,61.0,2,2,male,67.0
93,70.0,60.0,4,1,male,67.0
93,70.0,60.0,4,2,male,64.5
93,70.0,60.0,4,3,female,65.0
93,70.0,60.0,4,4,female,63.0
94,70.0,60.0,2,1,female,65.0
94,70.0,60.0,2,2,female,65.0
95,70.0,58.5,3,1,male,71.5
95,70.0,58.5,3,2,male,64.5
95,70.0,58.5,3,3,female,63.0
96,70.0,58.0,5,1,male,72.0
96,70.0,58.0,5,2,male,66.0
96,70.0,58.0,5,3,female,66.0
96,70.0,58.0,5,4,female,65.0
96,70.0,58.0,5,5,female,63.0
97,69.0,68.5,10,1,male,75.0
97,69.0,68.5,10,2,male,71.0
97,69.0,68.5,10,3,male,70.0
97,69.0,68.5,10,4,female,66.0
97,69.0,68.5,10,5,female,66.0
97,69.0,68.5,10,6,female,65.5
97,69.0,68.5,10,7,female,65.0
97,69.0,68.5,10,8,female,65.0
97,69.0,68.5,10,9,female,64.0
97,69.0,68.5,10,10,female,64.0
98,69.0,67.0,1,1,female,64.0
99,69.0,66.0,8,1,male,73.0
99,69.0,66.0,8,2,male,72.0
99,69.0,66.0,8,3,male,71.7
99,69.0,66.0,8,4,male,71.5
99,69.0,66.0,8,5,female,65.5
99,69.0,66.0,8,6,female,65.0
99,69.0,66.0,8,7,female,62.7
99,69.0,66.0,8,8,female,62.5
100,69.0,66.0,3,1,male,71.2
100,69.0,66.0,3,2,male,71.0
100,69.0,66.0,3,3,male,70.0
101,69.0,66.7,4,1,male,75.0
101,69.0,66.7,4,2,male,74.0
101,69.0,66.7,4,3,male,72.0
101,69.0,66.7,4,4,male,68.5
102,69.0,66.0,6,1,male,70.0
102,69.0,66.0,6,2,male,68.5
102,69.0,66.0,6,3,male,68.0
102,69.0,66.0,6,4,female,65.0
102,69.0,66.0,6,5,female,63.0
102,69.0,66.0,6,6,female,62.5
103,69.0,66.5,7,1,male,73.0
103,69.0,66.5,7,2,male,71.0
103,69.0,66.5,7,3,male,70.5
103,69.0,66.5,7,4,male,70.5
103,69.0,66.5,7,5,male,67.0
103,69.0,66.5,7,6,male,66.0
103,69.0,66.5,7,7,female,61.0
104,69.5,66.5,4,1,male,70.5
104,69.5,66.5,4,2,male,67.5
104,69.5,66.5,4,3,female,64.5
104,69.5,66.5,4,4,female,64.0
105,69.0,66.5,6,1,male,71.0
105,69.0,66.5,6,2,female,68.5
105,69.0,66.5,6,3,female,67.5
105,69.0,66.5,6,4,female,66.0
105,69.0,66.5,6,5,female,63.0
105,69.0,66.5,6,6,female,63.0
106,69.5,66.0,7,1,male,71.0
106,69.5,66.0,7,2,male,71.0
106,69.5,66.0,7,3,male,70.5
106,69.5,66.0,7,4,male,70.5
106,69.5,66.0,7,5,female,66.5
106,69.5,66.0,7,6,female,65.5
106,69.5,66.0,7,7,female,64.5
107,69.0,66.0,9,1,male,73.0
107,69.0,66.0,9,2,male,72.0
107,69.0,66.0,9,3,male,69.0
107,69.0,66.0,9,4,male,69.0
107,69.0,66.0,9,5,female,66.5
107,69.0,66.0,9,6,female,65.5
107,69.0,66.0,9,7,female,65.5
107,69.0,66.0,9,8,female,65.0
107,69.0,66.0,9,9,female,64.0
108,69.0,65.0,7,1,male,70.0
108,69.0,65.0,7,2,male,68.5
108,69.0,65.0,7,3,male,67.0
108,69.0,65.0,7,4,female,65.0
108,69.0,65.0,7,5,female,64.0
108,69.0,65.0,7,6,female,63.5
108,69.0,65.0,7,7,female,61.0
109,69.5,64.5,7,1,male,69.7
109,69.5,64.5,7,2,male,68.0
109,69.5,64.5,7,3,male,60.0
109,69.5,64.5,7,4,female,65.2
109,69.5,64.5,7,5,female,64.5
109,69.5,64.5,7,6,female,63.7
109,69.5,64.5,7,7,female,60.0
110,69.2,64.0,4,1,male,71.7
110,69.2,64.0,4,2,male,66.5
110,69.2,64.0,4,3,female,65.0
110,69.2,64.0,4,4,female,63.5
111,69.0,63.5,1,1,female,65.5
112,69.0,63.0,3,1,male,69.0
112,69.0,63.0,3,2,female,67.5
112,69.0,63.0,3,3,female,63.5
113,69.0,63.0,1,1,male,72.0
114,69.0,63.0,6,1,male,73.0
114,69.0,63.0,6,2,male,70.0
114,69.0,63.0,6,3,male,70.0
114,69.0,63.0,6,4,male,64.0
114,69.0,63.0,6,5,female,66.0
114,69.0,63.0,6,6,female,62.0
115,69.0,63.5,7,1,male,70.5
115,69.0,63.5,7,2,male,67.0
115,69.0,63.5,7,3,male,66.0
115,69.0,63.5,7,4,female,65.0
115,69.0,63.5,7,5,female,63.0
115,69.0,63.5,7,6,female,62.0
115,69.0,63.5,7,7,female,61.0
116,69.0,63.5,3,1,male,70.5
116,69.0,63.5,3,2,female,63.7
116,69.0,63.5,3,3,female,63.0
117,69.7,62.0,1,1,female,62.5
118,69.5,62.0,3,1,male,73.0
118,69.5,62.0,3,2,male,72.0
118,69.5,62.0,3,3,male,69.0
119,69.0,62.0,5,1,male,73.0
119,69.0,62.0,5,2,male,71.0
119,69.0,62.0,5,3,male,71.0
119,69.0,62.0,5,4,male,69.0
119,69.0,62.0,5,5,female,63.0
120,69.5,62.0,11,1,male,72.0
120,69.5,62.0,11,2,male,70.0
120,69.5,62.0,11,3,male,67.8
120,69.5,62.0,11,4,female,65.2
120,69.5,62.0,11,5,female,64.7
120,69.5,62.0,11,6,female,64.5
120,69.5,62.0,11,7,female,63.5
120,69.5,62.0,11,8,female,63.5
120,69.5,62.0,11,9,female,62.5
120,69.5,62.0,11,10,female,62.0
120,69.5,62.0,11,11,female,61.5
121,69.0,62.5,8,1,male,71.0
121,69.0,62.5,8,2,male,70.0
121,69.0,62.5,8,3,male,70.0
121,69.0,62.5,8,4,male,69.0
121,69.0,62.5,8,5,female,63.5
121,69.0,62.5,8,6,female,62.5
121,69.0,62.5,8,7,female,62.5
121,69.0,62.5,8,8,female,62.0
122,69.0,62.0,4,1,male,72.0
122,69.0,62.0,4,2,male,68.0
122,69.0,62.0,4,3,female,66.0
122,69.0,62.0,4,4,female,66.0
123,69.5,61.0,5,1,male,70.0
123,69.5,61.0,5,2,male,69.5
123,69.5,61.0,5,3,male,69.0
123,69.5,61.0,5,4,female,63.0
123,69.5,61.0,5,5,female,62.0
124,69.0,61.0,9,1,male,68.0
124,69.0,61.0,9,2,male,68.0
124,69.0,61.0,9,3,male,67.5
124,69.0,61.0,9,4,male,64.0
124,69.0,61.0,9,5,male,63.0
124,69.0,61.0,9,6,male,63.0
124,69.0,61.0,9,7,female,63.5
124,69.0,61.0,9,8,female,62.0
124,69.0,61.0,9,9,female,62.0
125,69.0,60.0,3,1,male,70.5
125,69.0,60.0,3,2,female,68.0
125,69.0,60.0,3,3,female,62.5
126,69.0,60.0,4,1,male,69.0
126,69.0,60.0,4,2,male,66.0
126,69.0,60.0,4,3,female,61.7
126,69.0,60.0,4,4,female,60.5
127,69.0,60.5,1,1,male,69.5
128,68.7,70.5,2,1,male,71.0
128,68.7,70.5,2,2,female,61.7
129,68.5,67.0,3,1,male,73.0
129,68.5,67.0,3,2,male,71.0
129,68.5,67.0,3,3,female,67.0
130,68.5,66.5,11,1,male,70.0
130,68.5,66.5,11,2,male,69.0
130,68.5,66.5,11,3,male,69.0
130,68.5,66.5,11,4,male,68.7
130,68.5,66.5,11,5,male,68.5
130,68.5,66.5,11,6,male,68.5
130,68.5,66.5,11,7,male,68.0
130,68.5,66.5,11,8,male,68.0
130,68.5,66.5,11,9,male,68.0
130,68.5,66.5,11,10,male,66.2
130,68.5,66.5,11,11,female,63.2
131,68.0,65.0,2,1,male,67.5
131,68.0,65.0,2,2,male,66.0
132,68.0,65.5,2,1,male,66.0
132,68.0,65.5,2,2,female,64.0
133,68.0,65.5,7,1,male,71.7
133,68.0,65.5,7,2,male,71.5
133,68.0,65.5,7,3,male,70.7
133,68.0,65.5,7,4,male,65.5
133,68.0,65.5,7,5,female,66.5
133,68.0,65.5,7,6,female,65.2
133,68.0,65.5,7,7,female,61.5
134,68.0,65.0,4,1,male,72.0
134,68.0,65.0,4,2,male,72.0
134,68.0,65.0,4,3,female,68.0
134,68.0,65.0,4,4,female,66.0
135,68.5,65.0,8,1,male,69.2
135,68.5,65.0,8,2,male,68.0
135,68.5,65.0,8,3,male,66.0
135,68.5,65.0,8,4,male,66.0
135,68.5,65.0,8,5,female,62.0
135,68.5,65.0,8,6,female,61.5
135,68.5,65.0,8,7,female,61.0
135,68.5,65.0,8,8,female,60.0
136A,68.5,65.0,8,1,male,72.0
136A,68.5,65.0,8,2,male,70.5
136A,68.5,65.0,8,3,male,68.7
136A,68.5,65.0,8,4,male,68.5
136A,68.5,65.0,8,5,male,67.7
136A,68.5,65.0,8,6,female,64.0
136A,68.5,65.0,8,7,female,63.5
136A,68.5,65.0,8,8,female,63.0
136,68.0,64.0,10,1,male,71.0
136,68.0,64.0,10,2,male,68.0
136,68.0,64.0,10,3,male,68.0
136,68.0,64.0,10,4,male,67.0
136,68.0,64.0,10,5,female,65.0
136,68.0,64.0,10,6,female,64.0
136,68.0,64.0,10,7,female,63.0
136,68.0,64.0,10,8,female,63.0
136,68.0,64.0,10,9,female,62.0
136,68.0,64.0,10,10,female,61.0
137,68.0,64.0,4,1,male,66.0
137,68.0,64.0,4,2,male,63.0
137,68.0,64.0,4,3,female,65.5
137,68.0,64.0,4,4,female,62.0
138,68.0,64.0,5,1,male,71.2
138,68.0,64.0,5,2,male,71.2
138,68.0,64.0,5,3,male,69.0
138,68.0,64.0,5,4,male,68.5
138,68.0,64.0,5,5,female,62.5
139,68.0,64.5,1,1,female,62.0
140,68.0,64.0,10,1,male,69.0
140,68.0,64.0,10,2,male,67.0
140,68.0,64.0,10,3,male,66.0
140,68.0,64.0,10,4,female,66.0
140,68.0,64.0,10,5,female,66.0
140,68.0,64.0,10,6,female,65.0
140,68.0,64.0,10,7,female,65.0
140,68.0,64.0,10,8,female,65.0
140,68.0,64.0,10,9,female,64.0
140,68.0,64.0,10,10,female,63.0
141,68.0,63.0,8,1,male,70.5
141,68.0,63.0,8,2,male,70.0
141,68.0,63.0,8,3,male,68.0
141,68.0,63.0,8,4,male,66.0
141,68.0,63.0,8,5,male,66.0
141,68.0,63.0,8,6,female,66.0
141,68.0,63.0,8,7,female,62.0
141,68.0,63.0,8,8,female,61.5
142,68.5,63.5,4,1,male,73.5
142,68.5,63.5,4,2,male,70.0
142,68.5,63.5,4,3,male,69.5
142,68.5,63.5,4,4,female,65.5
143,68.0,63.0,1,1,male,67.0
144,68.0,63.0,4,1,male,70.0
144,68.0,63.0,4,2,male,68.0
144,68.0,63.0,4,3,female,64.5
144,68.0,63.0,4,4,female,64.0
145,68.0,63.0,8,1,male,71.0
145,68.0,63.0,8,2,male,68.0
145,68.0,63.0,8,3,male,66.0
145,68.0,63.0,8,4,male,65.5
145,68.0,63.0,8,5,male,65.0
145,68.0,63.0,8,6,female,63.0
145,68.0,63.0,8,7,female,62.0
145,68.0,63.0,8,8,female,62.0
146,68.0,63.0,6,1,male,67.0
146,68.0,63.0,6,2,male,67.0
146,68.0,63.0,6,3,male,66.0
146,68.0,63.0,6,4,female,64.0
146,68.0,63.0,6,5,female,63.5
146,68.0,63.0,6,6,female,61.0
147,68.5,63.5,1,1,male,68.2
148,68.0,63.0,1,1,male,70.0
149,68.2,63.5,5,1,male,70.0
149,68.2,63.5,5,2,male,69.0
149,68.2,63.5,5,3,male,67.0
149,68.2,63.5,5,4,male,65.5
149,68.2,63.5,5,5,female,64.5
150,68.0,62.5,1,1,male,68.5
151,68.7,62.0,2,1,male,67.7
151,68.7,62.0,2,2,female,61.7
152,68.0,62.5,1,1,male,66.5
153,68.0,61.0,5,1,male,68.5
153,68.0,61.0,5,2,male,68.0
153,68.0,61.0,5,3,male,64.0
153,68.0,61.0,5,4,female,63.5
153,68.0,61.0,5,5,female,63.0
154,68.0,60.2,1,1,male,66.7
155,68.0,60.0,7,1,male,64.0
155,68.0,60.0,7,2,female,61.0
