id,genre
136,Animation|Fantasy|Sci-Fi|War
137,Documentary
138,Romance
139,Adventure|Drama|War
140,Adventure|Children|Fantasy
141,
142,
143,Horror
144,
145,Horror|Sci-Fi
146,Comedy|Romance
147,
148,Action|Drama|Sci-Fi|IMAX
149,Crime|Horror|Mystery
150,Drama
151,Documentary
152,Animation|Comedy|Romance
153,Action|Sci-Fi
154,
155,Comedy|Drama
156,
157,Comedy
158,
159,
160,
161,Comedy|Fantasy
162,Comedy
163,Comedy|Romance
164,Adventure|Comedy
165,Comedy|Drama
166,(no genres listed)
167,
168,Action|Drama|Romance
169,Documentary
170,
171,Action|Adventure|Thriller
172,
173,Drama|Film-Noir|Mystery
174,Animation|Comedy|Drama|Fantasy
175,
176,
177,War
178,Comedy
179,Comedy|Western
180,Adventure|Children|Fantasy|Musical
181,Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi|IMAX
182,Drama|Romance
183,Action|Fantasy
184,Animation|Comedy
185,Animation|Comedy
186,
187,Comedy|Romance
188,
189,Adventure|Animation|Children|Comedy|Drama|Romance
190,Documentary
191,Drama
192,
193,
194,
195,
196,Drama|Musical
197,Drama
198,Drama
199,
200,Adventure|Drama
201,
202,Crime|Drama|Mystery|Thriller
203,Drama
204,
205,Comedy
206,
207,Children
208,
209,
210,Comedy|Drama
211,Action|Adventure|Drama
212,Horror|Thriller
213,
214,Adventure|Comedy|Romance
215,Comedy
216,Comedy
217,
218,Action|Thriller
219,
220,Drama
221,Action|Children|Comedy|Fantasy|Sci-Fi
222,Drama|Romance
223,Comedy
224,Romance|Thriller
225,Drama|Romance
226,Documentary
227,Drama|Mystery|Sci-Fi|Thriller
228,
229,Comedy|Drama|War
230,Drama
231,Action|Adventure|Fantasy
232,
233,
234,Adventure|Western
235,Adventure|Animation|Children|Comedy|IMAX
236,Horror|Thriller|Western
237,Drama
238,Documentary|War
239,Action
240,
241,
242,Action|Adventure|Animation|Comedy|Thriller
243,Documentary
244,Children
245,Comedy|Drama
246,Documentary
247,Drama
248,Documentary
249,Drama|Romance
250,Drama|Thriller
251,Adventure|Children|Drama
252,Drama|Romance
253,Comedy|Drama
254,Comedy
255,Drama
256,Children|Musical|Romance
257,Crime|Drama|Mystery
258,Comedy|Drama|Romance
259,Drama
260,Drama
261,
262,Horror|Thriller
263,Drama
264,Drama
265,Action|Animation|Comedy|Romance
266,Comedy|Drama
267,Comedy|Romance
268,
269,
270,Horror|Sci-Fi
271,Comedy
272,
273,
274,
275,Adventure|Comedy|Drama
276,Comedy|Romance
277,Drama
278,Drama|Thriller|War
279,Comedy|Drama|Romance
280,Drama
281,Comedy
282,Drama
283,Action|Adventure|War
284,Action|Adventure|Fantasy
285,
286,Children|Fantasy|Musical|Romance
287,Documentary
288,Drama
289,Action|Adventure|Animation|Children|Fantasy
290,(no genres listed)
291,Action|Adventure|Drama
292,Crime|Drama|Thriller
293,Comedy
294,Drama
295,Adventure|Fantasy
296,
297,Comedy|Drama
298,Horror
299,Adventure|Crime|Drama|Romance
300,
301,
302,
303,Drama
304,
305,Action|Drama
306,
307,Crime|Drama|Musical|Romance
308,Action|Drama|War
309,Action|Adventure|Comedy|Crime
310,Crime|Drama
311,Action|Crime|Drama
312,
313,Documentary
314,Comedy
315,Animation|Drama|Fantasy
316,Drama
317,Documentary
318,Drama
319,Children|Western
320,
321,Drama
322,Documentary
323,Documentary
324,Animation|Comedy
325,Drama
326,Documentary
327,Drama
328,Horror
329,Comedy
330,
331,Children|Fantasy
332,
333,Comedy
334,Crime|Horror
335,Crime|Drama
336,Comedy|Romance
337,Crime|Drama
338,
339,
340,
341,Comedy
342,Drama
343,
344,
345,Drama
346,
347,Drama|Fantasy
348,
349,
350,Drama|Romance
351,Comedy|Drama|Thriller
352,Action|Adventure|Fantasy|Romance
353,
354,Crime|Drama|Film-Noir|Mystery
355,
356,Comedy|Romance
357,Animation|Documentary
358,Documentary|War
359,
360,Documentary
361,Comedy
362,
363,
364,Comedy
365,Drama
366,Drama
367,
368,Drama
369,Comedy|Drama
370,Drama
371,Comedy
372,Comedy|Drama
373,Drama
374,Comedy|Crime|Drama
375,
376,Adventure|Comedy|Sci-Fi
377,Documentary
378,Drama|War
379,Adventure|Drama|Romance
380,Drama
381,
382,
383,Drama
384,Comedy
385,Action|Fantasy|Western
386,
387,Drama|Horror|Romance
388,Crime|Drama
389,Comedy|Romance|Sci-Fi|Thriller
390,Action|Drama
391,Action|Adventure|Thriller
392,Action|Comedy|Crime|Thriller
393,Comedy
394,
395,Crime|Drama|Mystery|Romance|Thriller
396,Documentary
397,
398,Comedy
399,
400,Drama
401,Horror|Mystery
402,
403,Comedy|Documentary|Romance
404,
405,Drama
406,
407,Action|Horror|Thriller
408,Comedy|Drama|Fantasy
409,Animation
410,Documentary
411,Drama
412,Western
413,
414,Adventure|Animation|Children|Drama|Fantasy
415,Horror
416,Drama
417,Action|Thriller
418,Action|Horror
419,
420,Thriller
421,Horror|Thriller
422,Comedy
423,Horror|Thriller
424,Sci-Fi
425,Comedy
426,Adventure|Children|Comedy
427,Drama
428,Comedy|Drama
429,Comedy
430,Drama
431,Crime|Drama|Musical|Romance
432,Animation|Comedy
433,
434,Children|Comedy|Fantasy
435,Drama
436,Action|Adventure|Animation|Children|Comedy
437,Documentary|Drama
438,Drama
439,Drama|War
440,
441,Action|Adventure|Drama
442,Horror|Mystery
443,Comedy
444,
445,Comedy|Crime|Thriller
446,
447,
448,Comedy
449,Action|Horror|Sci-Fi
450,Drama
451,Comedy
452,Drama
453,Drama
454,Drama
455,Action|Crime|Drama|Thriller
456,Animation|Comedy|Horror|IMAX
457,
458,Action|Children|Comedy|Fantasy
459,Drama|Horror
460,Comedy
461,Comedy
462,Documentary
463,Adventure|Drama|War
464,Drama|Sci-Fi
465,
466,Action|Adventure|Fantasy
467,
468,Drama
469,Comedy
470,
471,Adventure|Drama
472,Action|Horror|Sci-Fi|Thriller
473,Horror
474,Crime|Horror
475,Drama|Horror|Mystery|Thriller
476,
477,Comedy|Crime
478,Action|Adventure|Crime|War
479,
480,Comedy|Romance
481,
482,Crime|Mystery|Thriller
483,Drama
484,Drama|Sci-Fi|Thriller
485,Documentary
486,Comedy|Romance
487,Romance
488,Thriller
489,
490,Comedy|Musical
491,Drama|Romance|Thriller
492,Action|Horror|Sci-Fi
493,Crime|Drama|Thriller
494,Comedy|Drama|Romance
495,Comedy
496,
497,Drama
498,
499,Drama
500,Drama|Musical
501,Comedy|Romance
502,Animation|Children|Comedy|Drama
503,
504,Comedy
505,Documentary
506,Comedy
507,Documentary
508,Comedy|Drama
509,Action|Mystery
510,Action|Sci-Fi|Thriller
511,
512,Documentary
513,
514,
515,Drama
516,Drama
517,
518,Children|Drama
519,
520,Drama|Musical
521,Comedy
522,Documentary
523,
524,Drama
525,Drama|Romance|Thriller
526,Drama
527,Crime|Drama|Mystery|Thriller
528,Documentary
529,
530,Comedy|Sci-Fi
531,Comedy|Crime|Drama|Thriller
532,Action|Drama
533,
534,
535,Horror|Western
536,Comedy|Crime|Horror
537,
538,Drama|War
539,Horror
540,Drama|Fantasy|Romance
541,
542,Drama
543,Comedy|Drama
544,
545,
546,Drama|Mystery|Sci-Fi
547,Drama
548,
549,Horror|Thriller
550,
551,
552,Action|Crime|Drama
553,Drama
554,
555,Action|Animation|Drama
556,Action|Crime|Drama
557,Comedy|Western
558,Drama
559,Comedy
560,Drama
561,Drama
562,Action|Drama
563,
564,
565,Comedy|Drama|War
566,
567,(no genres listed)
568,Drama
569,
570,
571,Documentary
572,
573,Animation
574,
575,Drama|War
576,Western
577,Comedy|Horror|Thriller
578,
579,Comedy|Crime
580,Crime|Drama|Western
581,Comedy
582,
583,Comedy|Drama
584,Comedy
585,
586,Drama|Romance
587,Action|Comedy|Horror|Sci-Fi
588,Comedy|Romance
589,Comedy|Crime
590,
591,Drama|Sci-Fi|Thriller
592,Comedy|Musical|Sci-Fi
593,Comedy|Romance
594,Action
595,Documentary|Musical
596,Action|Drama
597,
598,Drama|Romance
599,Drama
600,Romance|Thriller
601,Comedy|Fantasy
602,Drama|Romance
603,
604,
605,
606,Comedy|Drama
607,Drama|Romance
608,Drama|Romance|War
609,Drama
610,Action|Sci-Fi
611,Drama|Romance
612,
613,
614,Animation|Crime|Mystery|Sci-Fi|Thriller
615,Adventure|Drama|Romance
616,Drama
617,(no genres listed)
618,Horror|Sci-Fi|Thriller
619,Horror
620,Comedy|Sci-Fi
621,Comedy|Drama|Romance
622,Horror
623,Comedy|Horror
624,Drama
625,Drama|Romance
626,
627,Comedy
628,Adventure|Comedy|Romance
629,Action
630,Crime|Drama|Mystery|Thriller
631,Drama|Romance
632,Drama
633,Drama|Romance
634,Comedy|Drama|Fantasy
635,Crime|Drama|Thriller
636,Action|Adventure|Sci-Fi|IMAX
637,
638,Thriller
639,Comedy|Crime
640,Children|Comedy
641,Adventure|Drama
642,Action|Adventure|Drama|Romance|War
643,Comedy|Drama|Mystery|Thriller
644,Action|Comedy|Drama
645,
646,Drama
647,Documentary
648,Sci-Fi|Thriller
649,
650,Documentary
651,Drama
652,
653,Adventure|Documentary
654,
655,Action|Sci-Fi|Thriller
656,Drama
657,Comedy|Drama|Fantasy|Romance
658,Action|Crime|Drama
659,
660,
661,
662,
663,
664,Drama|Romance
665,Documentary
666,Action|Adventure|Children|Comedy
667,Drama
668,Action|Fantasy|Thriller
669,Documentary|IMAX
670,Comedy
671,
672,Drama|Horror|Sci-Fi
673,Action|Fantasy|Horror
674,Drama
675,
676,Sci-Fi
677,Documentary
678,Thriller
679,Comedy|Drama
680,Drama
681,Action|Sci-Fi
682,Action|Drama|Mystery|Thriller
683,Action|Horror|Sci-Fi|Thriller
684,
685,Drama|Film-Noir
686,
687,
688,Thriller
689,
690,Comedy|Crime|Drama
691,Drama|Mystery|Thriller
692,Documentary
693,Comedy|Drama
694,Drama|Romance
695,Drama
696,Documentary
697,
698,Comedy|Drama|Musical
699,
700,Comedy
701,Drama
702,Adventure
703,
704,Animation|Children
705,Drama
706,Crime|Drama|Mystery
707,
708,Drama
709,Drama|Thriller
710,Mystery
711,Drama|Thriller
712,Documentary
713,Documentary
714,Action|Drama|War
715,Crime|Drama
716,Drama
717,Action|Adventure|Fantasy
718,
719,Documentary|Musical
720,Drama
721,Drama
722,
723,
724,Crime|Drama|Thriller
725,Crime
726,
727,Fantasy
728,Comedy|Romance
729,Sci-Fi|Thriller
730,Film-Noir|Thriller|War
731,Drama
732,
733,Adventure|Comedy|Fantasy
734,
735,Drama
736,Comedy
737,Documentary|Drama
738,Action|Adventure|Crime|Drama
739,Action|Comedy|Thriller
740,
741,Drama
742,Comedy|Romance
743,
744,
745,
746,Drama|Romance
747,Comedy|Drama|Romance
748,Adventure|Romance
749,Drama|Horror|Sci-Fi|Thriller
750,Action|Horror
751,Sci-Fi
752,Horror
753,Action|Musical|Romance
754,Comedy
755,Comedy|Sci-Fi
756,Crime|Horror|Mystery|Thriller
757,
758,Adventure|Animation|Comedy
759,
760,Comedy
761,Drama
762,Drama|Romance
763,Action
764,Children|Drama
765,Comedy|Romance
766,Horror
767,Children|Drama
768,Comedy|Mystery
769,Comedy|Drama
770,
771,Crime|Drama
772,
773,Horror|Thriller
774,Comedy
775,Comedy
776,Comedy|Drama
777,Comedy|Drama|Romance
778,Comedy
779,Drama
780,Horror
781,Drama|Romance
782,Drama|Mystery|Thriller
783,Comedy|Fantasy|Horror
784,Comedy
785,
786,
787,Documentary
788,Crime|Drama
789,Adventure|Comedy
790,
791,
792,
793,Adventure|Children|Fantasy
794,Comedy|Drama
795,
796,
797,Action|Comedy|Crime|Thriller
798,Comedy|Drama|Sci-Fi
799,
800,Documentary
801,Action|Comedy|Drama
802,
803,Action|Crime|Drama
804,
805,Drama
806,Crime|Drama
807,Drama|Romance
808,
809,Drama
810,
811,
812,Drama
813,
814,Horror
815,Drama|Romance
816,Comedy|Crime
817,Adventure|Comedy|Drama|Fantasy|Mystery|Sci-Fi|Thriller
818,Crime|Drama|Thriller
819,Action|Adventure|Romance
820,Drama|Thriller
821,Comedy|Drama|Romance
822,
823,
824,Animation|Drama|Romance|Sci-Fi
825,Crime|Mystery|Thriller
826,Comedy|Drama
827,
828,Drama
829,Comedy|Fantasy
830,
831,Drama|Romance
832,
833,Horror
834,
835,Animation|Children|Fantasy|Musical
836,
837,Drama
838,Action|Comedy|Crime
839,Action|Sci-Fi
840,
841,Comedy
842,
843,
844,Crime|Drama|Thriller
845,Adventure|Comedy|Documentary
846,Drama|Romance|Western
847,Comedy
848,Crime|Drama|Romance|Thriller
849,Action|Drama|War
850,Children|Comedy|Fantasy
851,
852,Comedy|Drama
853,
854,Children|Comedy|Drama
855,
856,Drama|Musical
857,Action|Comedy
858,Horror
859,Crime|Drama|Mystery
860,Action|Adventure|Drama|War
861,Action|Adventure
862,
863,Crime|Drama|Mystery
864,Drama|Mystery|Romance
865,Documentary
866,
867,
868,Comedy
869,
870,Drama
871,
872,Drama
873,Comedy|Musical
874,Documentary|IMAX
875,Documentary
876,
877,Comedy
878,
879,Comedy|Drama
880,
881,Comedy|Drama
882,Drama|War
883,Drama
884,Drama
885,Action|Adventure|Crime|Drama|Thriller
886,Documentary
887,Comedy|Crime
888,Crime|Thriller
889,Crime|Drama|Thriller
890,Action|Crime
891,
892,
893,Drama
894,
895,Adventure|Comedy
896,Documentary
897,Documentary
898,Drama
899,Drama
900,Documentary
901,Action|Horror|Thriller
902,Documentary|Horror
903,Comedy|Romance
904,
905,Horror
906,
907,Drama
908,Comedy|Romance
909,Crime|Drama
910,Children|Drama
911,Documentary
912,Thriller
913,
914,
915,Comedy
916,Crime|Drama
917,
918,
919,Action|Adventure|Fantasy|Sci-Fi
920,Action|Drama|Thriller
921,Drama
922,Drama
923,Comedy|Horror|Mystery
924,Drama
925,Documentary
926,Comedy
927,Drama
928,Action|Adventure|Comedy
929,Drama
930,Drama
931,Action|Western
932,Drama
933,Comedy
934,Action|Drama
935,Action|Animation|Comedy|Crime|Drama|Mystery|Romance|Thriller
936,Comedy
937,Action|Adventure|Romance
938,
939,
940,Comedy|Drama
941,
942,Action|Adventure|Drama|Mystery|Thriller
943,Drama|Romance
944,Drama|Romance
945,Action|Crime|Drama|Mystery|Sci-Fi|Thriller
946,
947,
948,Drama
949,Children|Drama
950,Horror
951,Adventure|Animation|Children|Comedy|Fantasy
952,
953,
954,
955,Action|Crime|Thriller
956,
957,Drama
958,Action|Drama|Horror
959,Animation|Comedy
960,Drama
961,
962,Comedy|Horror
963,Drama
964,Musical|Romance
965,Action|Drama
966,Drama|Thriller
967,Drama|Horror|Thriller
968,Comedy
969,Comedy|Crime|Mystery
970,Drama|Mystery|Romance
971,Action|Drama|Romance|Western
972,Comedy|Drama|Romance
973,Comedy|Drama
974,Crime|Drama
975,Drama
976,Drama|Romance|War
977,Drama
978,Documentary|Musical
979,Drama|Romance
980,
981,
982,Drama|Romance
983,Children|Drama
984,
985,Horror
986,Action|Horror
987,
988,
989,Drama
990,
991,Crime|Drama
992,Drama
993,Drama|Fantasy|Mystery
994,Drama
995,Drama|Romance
996,Horror|Mystery|Sci-Fi
997,
998,
999,Comedy
1000,Drama
