id,color
194,Yellow
195,Blue
196,Purple
197,Puce
198,Maroon
199,Violet
200,Blue
201,Yellow
202,Orange
203,Indigo
204,Maroon
205,Purple
206,
207,Blue
208,Puce
209,Crimson
210,Indigo
211,Orange
212,Aquamarine
213,Goldenrod
214,Green
215,Goldenrod
216,Mauv
217,Pink
218,
219,Pink
220,Crimson
221,Pink
222,Violet
223,Orange
224,Orange
225,Aquamarine
226,Indigo
227,Aquamarine
228,Khaki
229,Pink
230,Puce
231,Maroon
232,Purple
233,Pink
234,Aquamarine
235,Purple
236,Pink
237,Fuscia
238,Maroon
239,Blue
240,Purple
241,Purple
242,Violet
243,Puce
244,Indigo
245,Maroon
246,Puce
247,Purple
248,Red
249,Crimson
250,Turquoise
251,Orange
252,Green
253,Goldenrod
254,Yellow
255,Aquamarine
256,Khaki
257,Aquamarine
258,Red
259,Maroon
260,Teal
261,Blue
262,Crimson
263,Orange
264,Indigo
265,Purple
266,Purple
267,Blue
268,Pink
269,Crimson
270,Pink
271,Aquamarine
272,Orange
273,Fuscia
274,Red
275,Orange
276,Turquoise
277,Green
278,Goldenrod
279,Yellow
280,Indigo
281,Goldenrod
282,Yellow
283,Maroon
284,Orange
285,Green
286,Khaki
287,Red
288,Blue
289,Turquoise
290,Khaki
291,Fuscia
292,Crimson
293,Mauv
294,Violet
295,Indigo
296,Yellow
297,Indigo
298,Purple
299,Pink
300,Teal
301,Red
302,Yellow
303,Orange
304,Khaki
305,Puce
306,Fuscia
307,Teal
308,Puce
309,Maroon
310,Maroon
311,
312,Goldenrod
313,Violet
314,Aquamarine
315,Indigo
316,Goldenrod
317,Blue
318,Violet
319,Fuscia
320,Maroon
321,Puce
322,Blue
323,Pink
324,Goldenrod
325,Turquoise
326,Purple
327,Khaki
328,Yellow
329,Puce
330,Khaki
331,Orange
332,Puce
333,Teal
334,Green
335,Aquamarine
336,Khaki
337,Red
338,Khaki
339,Crimson
340,Khaki
341,Indigo
342,Puce
343,Mauv
344,Green
345,Red
346,Blue
347,Fuscia
348,Crimson
349,Purple
350,Fuscia
351,Violet
352,Crimson
353,Purple
354,Yellow
355,Teal
356,Maroon
357,Maroon
358,Aquamarine
359,Orange
360,Blue
361,Green
362,Goldenrod
363,Goldenrod
364,Purple
365,Turquoise
366,Teal
367,Goldenrod
368,Mauv
369,Aquamarine
370,Teal
371,Aquamarine
372,Fuscia
373,Blue
374,Fuscia
375,Pink
376,Green
377,Turquoise
378,Turquoise
379,Crimson
380,Yellow
381,Maroon
382,Fuscia
383,Pink
384,Yellow
385,Green
386,Violet
387,Violet
388,Puce
389,Maroon
390,Goldenrod
391,Aquamarine
392,Red
393,Turquoise
394,Maroon
395,Green
396,Red
397,Turquoise
398,Puce
399,Turquoise
400,Turquoise
401,Yellow
402,Aquamarine
403,Orange
404,
405,Khaki
406,Maroon
407,Mauv
408,Purple
409,Aquamarine
410,Red
411,Indigo
412,Red
413,Maroon
414,Red
415,Turquoise
416,Aquamarine
417,Khaki
418,Crimson
419,Maroon
420,Maroon
421,
422,Goldenrod
423,Yellow
424,Red
425,Pink
426,Turquoise
427,Red
428,Pink
429,Goldenrod
430,Indigo
431,Red
432,Fuscia
433,
434,Yellow
435,Orange
436,Purple
437,Crimson
438,Blue
439,Green
440,Crimson
441,Green
442,Pink
443,Aquamarine
444,Maroon
445,Turquoise
446,Pink
447,Violet
448,Mauv
449,Fuscia
450,Crimson
451,Violet
452,Yellow
453,Goldenrod
454,Crimson
455,Crimson
456,Yellow
457,Blue
458,Fuscia
459,Maroon
460,Puce
461,Khaki
462,Puce
463,Turquoise
464,Blue
465,Maroon
466,Red
467,Aquamarine
468,Fuscia
469,Blue
470,Fuscia
471,Crimson
472,Blue
473,Yellow
474,Violet
475,Turquoise
476,Indigo
477,Violet
478,Pink
479,Maroon
480,Yellow
481,Orange
482,Fuscia
483,
484,Mauv
485,Turquoise
486,Teal
487,Purple
488,Purple
489,Aquamarine
490,Yellow
491,Crimson
492,Blue
493,Fuscia
494,Teal
495,Yellow
496,Turquoise
497,Red
498,Indigo
499,Purple
500,Fuscia
501,Fuscia
502,Maroon
503,Fuscia
504,Fuscia
505,Blue
506,Khaki
507,Blue
508,Red
509,Turquoise
510,Purple
511,Red
512,Green
513,Blue
514,Goldenrod
515,Goldenrod
516,Purple
517,Mauv
518,Orange
519,Teal
520,Pink
521,Khaki
522,Blue
523,Goldenrod
524,Mauv
525,Pink
526,Red
527,Crimson
528,Teal
529,Khaki
530,Blue
531,Maroon
532,Crimson
533,Red
534,Green
535,Yellow
536,Mauv
537,
538,Violet
539,Purple
540,Teal
541,Purple
542,Crimson
543,Purple
544,Goldenrod
545,Khaki
546,Goldenrod
547,Pink
548,Puce
549,Fuscia
550,Goldenrod
551,Red
552,Indigo
553,Yellow
554,Red
555,Fuscia
556,Blue
557,Green
558,Teal
559,Aquamarine
560,Goldenrod
561,Aquamarine
562,Turquoise
563,Violet
564,Violet
565,Violet
566,Yellow
567,Khaki
568,Pink
569,Red
570,Yellow
571,Goldenrod
572,Violet
573,Khaki
574,Teal
575,Indigo
576,Puce
577,Fuscia
578,Indigo
579,Pink
580,Turquoise
581,Teal
582,Goldenrod
583,Yellow
584,Violet
585,Red
586,Yellow
587,Turquoise
588,Yellow
589,Khaki
590,Maroon
591,Fuscia
592,Puce
593,Orange
594,Khaki
595,Teal
596,
597,Fuscia
598,Crimson
599,Crimson
600,Mauv
601,Yellow
602,Khaki
603,Red
604,Pink
605,Fuscia
606,Khaki
607,Pink
608,Green
609,Red
610,Turquoise
611,Teal
612,Violet
613,Crimson
614,Indigo
615,Yellow
616,Crimson
617,Yellow
618,Maroon
619,Khaki
620,
621,Pink
622,Purple
623,Mauv
624,Aquamarine
625,Pink
626,Indigo
627,Crimson
628,Yellow
629,Puce
630,Turquoise
631,Puce
632,Red
633,Green
634,Khaki
635,Green
636,Turquoise
637,Teal
638,Fuscia
639,Blue
640,Violet
641,Maroon
642,Crimson
643,Orange
644,Pink
645,Maroon
646,Blue
647,Purple
648,Purple
649,Orange
650,Teal
651,Indigo
652,Aquamarine
653,Maroon
654,Pink
655,Purple
656,Orange
657,Green
658,Puce
659,Aquamarine
660,Puce
661,Maroon
662,Pink
663,Red
664,Yellow
665,Pink
666,Pink
667,Teal
668,Fuscia
669,Red
670,Khaki
671,Red
672,Puce
673,Blue
674,Red
675,Khaki
676,Maroon
677,Pink
678,Indigo
679,Maroon
680,Blue
681,Pink
682,Blue
683,Mauv
684,Turquoise
685,Mauv
686,Pink
687,Purple
688,Blue
689,Crimson
690,Red
691,Violet
692,Mauv
693,Blue
694,Violet
695,Turquoise
696,Aquamarine
697,Red
698,Aquamarine
699,Aquamarine
700,Maroon
701,Mauv
702,Violet
703,Yellow
704,Khaki
705,Goldenrod
706,Blue
707,Purple
708,Goldenrod
709,Orange
710,Aquamarine
711,Purple
712,Goldenrod
713,
714,Purple
715,Purple
716,Blue
717,Indigo
718,Crimson
719,Puce
720,Aquamarine
721,Puce
722,Orange
723,Yellow
724,Orange
725,Yellow
726,Violet
727,Teal
728,Khaki
729,Purple
730,Turquoise
731,Blue
732,Indigo
733,Goldenrod
734,Red
735,Mauv
736,Green
737,Blue
738,Violet
739,Turquoise
740,Violet
741,Turquoise
742,Khaki
743,Red
744,Khaki
745,Goldenrod
746,Fuscia
747,Khaki
748,Aquamarine
749,Indigo
750,Orange
751,Purple
752,Blue
753,Violet
754,Red
755,Crimson
756,
757,Yellow
758,Goldenrod
759,Turquoise
760,Red
761,Orange
762,Maroon
763,Khaki
764,Maroon
765,
766,Fuscia
767,Turquoise
768,Fuscia
769,Purple
770,
771,Mauv
772,Orange
773,Purple
774,Blue
775,Fuscia
776,Teal
777,Orange
778,Aquamarine
779,Mauv
780,Aquamarine
781,
782,Puce
783,Puce
784,Goldenrod
785,Khaki
786,Red
787,Violet
788,Turquoise
789,Khaki
790,Red
791,Maroon
792,Purple
793,Maroon
794,Crimson
795,Pink
796,Crimson
797,Indigo
798,Blue
799,Violet
800,
801,Violet
802,Violet
803,Purple
804,Fuscia
805,Yellow
806,Teal
807,Fuscia
808,Aquamarine
809,Mauv
810,Puce
811,Aquamarine
812,Indigo
813,Mauv
814,Goldenrod
815,Aquamarine
816,Purple
817,Purple
818,Orange
819,Mauv
820,Maroon
821,
822,Goldenrod
823,Green
824,Pink
825,Green
826,Fuscia
827,
828,Purple
829,Fuscia
830,Teal
831,Teal
832,Blue
833,Mauv
834,Blue
835,Pink
836,Green
837,Blue
838,Orange
839,Fuscia
840,Mauv
841,Turquoise
842,Goldenrod
843,Pink
844,Red
845,Teal
846,Yellow
847,Mauv
848,Mauv
849,Crimson
850,Puce
851,Pink
852,Pink
853,Red
854,Crimson
855,Indigo
856,Maroon
857,Fuscia
858,Red
859,Mauv
860,Yellow
861,Turquoise
862,Mauv
863,Orange
864,Blue
865,Green
866,Red
867,Pink
868,Red
869,Red
870,Teal
871,Puce
872,Fuscia
873,Violet
874,Red
875,Turquoise
876,Mauv
877,Purple
878,Fuscia
879,Red
880,Crimson
881,Khaki
882,Mauv
883,Mauv
884,Orange
885,Crimson
886,Indigo
887,Red
888,Blue
889,Pink
890,Teal
891,Indigo
892,Red
893,Green
894,
895,Green
896,Mauv
897,Puce
898,Green
899,Blue
900,Purple
901,Maroon
902,Goldenrod
903,Mauv
904,Teal
905,Puce
906,Yellow
907,Maroon
908,Blue
909,Violet
910,Indigo
911,Blue
912,Teal
913,Orange
914,Khaki
915,Khaki
916,Turquoise
917,Khaki
918,Turquoise
919,Red
920,Green
921,Maroon
922,Khaki
923,Blue
924,Indigo
925,Blue
926,Yellow
927,Yellow
928,Fuscia
929,Yellow
930,Teal
931,Purple
932,Red
933,Yellow
934,Goldenrod
935,Khaki
936,Mauv
937,Orange
938,Teal
939,Maroon
940,Violet
941,Yellow
942,Red
943,Orange
944,Violet
945,Red
946,Mauv
947,Maroon
948,Puce
949,Turquoise
950,Aquamarine
951,Turquoise
952,Khaki
953,Red
954,Khaki
955,Violet
956,Violet
957,Goldenrod
958,Maroon
959,Pink
960,Green
961,Purple
962,Indigo
963,Green
964,Puce
965,Teal
966,Mauv
967,Goldenrod
968,Goldenrod
969,Violet
970,Puce
971,Mauv
972,Teal
973,Puce
974,Turquoise
975,Crimson
976,Mauv
977,Pink
978,Mauv
979,Aquamarine
980,Turquoise
981,Purple
982,Khaki
983,Maroon
984,Turquoise
985,Blue
986,Orange
987,Green
988,Mauv
989,Teal
990,Maroon
991,Mauv
992,Yellow
993,Green
994,Teal
995,Turquoise
996,Purple
997,Blue
998,
999,Maroon
1000,Red
